name,generator,list,episode,floor,iter
Detonator [AP][12201],warrior_three,chests,3,1,1
Dice Shard,warrior_three,chests,3,2,1
Kingdom Hearts Item 1,warrior_three,chests,3,3,1
Dice Shard,warrior_three,chests,3,4,1
Dice Shard,warrior_three,chests,3,5,1
Dice Shard,warrior_three,shops,3,2,1
Dice Shard,warrior_three,shops,3,2,1
Dice Shard,warrior_three,shops,3,2,1
Dice Shard,warrior_three,shops,3,3,1
Dice Shard,warrior_three,shops,3,3,1
Dice Shard,warrior_three,shops,3,3,1
Dice Shard,warrior_three,shops,3,5,1
Dice Shard,warrior_three,shops,3,5,1
Dice Shard,warrior_three,shops,3,5,1
Dice Shard,warrior_three,shops,3,5,2
Dice Shard,warrior_three,shops,3,5,2
Dice Shard,warrior_three,shops,3,5,2
Boomerang,warrior_five,chests,5,1,1
Dice Shard,warrior_five,chests,5,2,1
Dice Shard,warrior_five,chests,5,2,2
Kingdom Hearts Item 1,warrior_five,chests,5,3,1
Dice Shard,warrior_five,chests,5,4,1
Dice Shard,warrior_five,chests,5,5,1
Dice Shard,warrior_five,shops,5,2,1
Dice Shard,warrior_five,shops,5,2,1
Dice Shard,warrior_five,shops,5,2,1
Dice Shard,warrior_five,shops,5,3,1
Dice Shard,warrior_five,shops,5,3,1
Dice Shard,warrior_five,shops,5,3,1
Dice Shard,warrior_five,shops,5,5,1
Dice Shard,warrior_five,shops,5,5,1
Dice Shard,warrior_five,shops,5,5,1
Dice Shard,warrior_five,shops,5,5,2
Dice Shard,warrior_five,shops,5,5,2
Dice Shard,warrior_five,shops,5,5,2
